02-16-2026 15:54:08 RAM 9798/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@729,2%@729,21%@729,2%@729,3%@2112,3%@2112,31%@2112,2%@2112,2%@729,5%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@41.875C soc2@37.093C soc0@38.062C tj@41.875C soc1@38.625C VDD_GPU_SOC 2804mW/2804mW VDD_CPU_CV 1201mW/1201mW VIN_SYS_5V0 4032mW/4032mW
02-16-2026 19:24:54 RAM 13177/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [12%@729,26%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,44%@2188,8%@2188,0%@2188,0%@2188] GR3D_FREQ 51% cpu@48.593C soc2@43.218C soc0@44.25C tj@48.593C soc1@45.312C VDD_GPU_SOC 4006mW/12826mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5451mW/6489mW
02-16-2026 19:24:57 RAM 13180/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2188,87%@2188,0%@2188,0%@2188] GR3D_FREQ 49% cpu@48.562C soc2@43.25C soc0@44.5C tj@48.562C soc1@45.343C VDD_GPU_SOC 4006mW/12824mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5451mW/6489mW
02-16-2026 19:25:00 RAM 13175/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,18%@2188,47%@2188,23%@2188,0%@2188] GR3D_FREQ 51% cpu@48.437C soc2@43.187C soc0@44.437C tj@48.437C soc1@45.406C VDD_GPU_SOC 4006mW/12822mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5350mW/6488mW
02-16-2026 19:25:03 RAM 13167/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,39%@2201,0%@2201,49%@2201,0%@2201] GR3D_FREQ 60% cpu@48.468C soc2@43.25C soc0@44.406C tj@48.468C soc1@45.437C VDD_GPU_SOC 4006mW/12819mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5350mW/6488mW
02-16-2026 19:25:06 RAM 13174/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,25%@2188,0%@2188,59%@2188,0%@2188] GR3D_FREQ 52% cpu@48.375C soc2@43.187C soc0@44.531C tj@48.375C soc1@45.406C VDD_GPU_SOC 4006mW/12817mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5451mW/6488mW
02-16-2026 19:25:09 RAM 13380/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,37%@2201,0%@2201,44%@2201,0%@2201] GR3D_FREQ 0% cpu@48.343C soc2@43.187C soc0@44.437C tj@48.343C soc1@45.562C VDD_GPU_SOC 3205mW/12815mW VDD_CPU_CV 2002mW/2081mW VIN_SYS_5V0 4536mW/6487mW
02-16-2026 19:25:12 RAM 14196/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 2% cpu@48.343C soc2@43.156C soc0@44.468C tj@48.343C soc1@45.593C VDD_GPU_SOC 3205mW/12813mW VDD_CPU_CV 2803mW/2081mW VIN_SYS_5V0 4435mW/6487mW
02-16-2026 19:25:15 RAM 14365/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,99%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@48.281C soc2@43.062C soc0@44.343C tj@48.281C soc1@45.5C VDD_GPU_SOC 3205mW/12811mW VDD_CPU_CV 2803mW/2081mW VIN_SYS_5V0 4435mW/6486mW
02-16-2026 19:25:18 RAM 14826/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [3%@729,2%@729,0%@729,4%@729,3%@729,1%@729,2%@729,0%@729,65%@2201,0%@2201,14%@2201,0%@2201] GR3D_FREQ 70% cpu@48.187C soc2@43.156C soc0@44.343C tj@48.187C soc1@45.531C VDD_GPU_SOC 4006mW/12808mW VDD_CPU_CV 2002mW/2081mW VIN_SYS_5V0 4838mW/6486mW
02-16-2026 19:25:21 RAM 14965/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,3%@2112,0%@2112,80%@2112,0%@2112] GR3D_FREQ 62% cpu@48.312C soc2@43.281C soc0@44.406C tj@48.5C soc1@45.593C VDD_GPU_SOC 5608mW/12807mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 5552mW/6486mW
02-16-2026 19:25:24 RAM 16292/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,7%@2201,12%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,5%@729,0%@729,59%@729,0%@729] GR3D_FREQ 23% cpu@48.656C soc2@43.437C soc0@44.593C tj@48.656C soc1@45.531C VDD_GPU_SOC 9218mW/12806mW VDD_CPU_CV 2003mW/2081mW VIN_SYS_5V0 5855mW/6486mW
02-16-2026 19:25:27 RAM 16388/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,0%@2201,84%@2201,0%@2201,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 49% cpu@49.031C soc2@44.312C soc0@45.406C tj@49.031C soc1@45.843C VDD_GPU_SOC 19631mW/12808mW VDD_CPU_CV 2003mW/2081mW VIN_SYS_5V0 7370mW/6486mW
02-16-2026 19:25:30 RAM 16421/62841MB (lfb 215x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,0%@2201,86%@2201,0%@2201,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@49.656C soc2@44.843C soc0@45.781C tj@49.656C soc1@46.125C VDD_GPU_SOC 21225mW/12810mW VDD_CPU_CV 2402mW/2081mW VIN_SYS_5V0 7672mW/6486mW
02-16-2026 19:25:33 RAM 16484/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,34%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,53%@2201,0%@2201] GR3D_FREQ 51% cpu@49.625C soc2@44.093C soc0@45.218C tj@49.625C soc1@46.156C VDD_GPU_SOC 7214mW/12808mW VDD_CPU_CV 2403mW/2081mW VIN_SYS_5V0 5855mW/6486mW
02-16-2026 19:25:36 RAM 17135/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@2201,0%@2201,85%@2201,0%@2201] GR3D_FREQ 99% cpu@49.343C soc2@44.031C soc0@45.187C tj@49.343C soc1@46.031C VDD_GPU_SOC 6407mW/12807mW VDD_CPU_CV 2402mW/2082mW VIN_SYS_5V0 5451mW/6486mW
02-16-2026 19:25:39 RAM 17944/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,83%@2201,0%@2201,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@49.875C soc2@44.531C soc0@45.718C tj@49.875C soc1@46.218C VDD_GPU_SOC 14823mW/12807mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6663mW/6486mW
02-16-2026 19:25:42 RAM 17945/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,50%@729,1%@729,0%@729,0%@729,0%@729,1%@729,1%@1881,31%@1881,0%@1881,0%@1881] GR3D_FREQ 99% cpu@50.25C soc2@45.25C soc0@46.5C tj@50.25C soc1@46.562C VDD_GPU_SOC 22435mW/12809mW VDD_CPU_CV 2002mW/2082mW VIN_SYS_5V0 7874mW/6486mW
02-16-2026 19:25:45 RAM 17979/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@2201,59%@2201,27%@2201,0%@2201] GR3D_FREQ 75% cpu@50.218C soc2@44.937C soc0@46.093C tj@50.218C soc1@46.656C VDD_GPU_SOC 12019mW/12809mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6663mW/6486mW
02-16-2026 19:25:48 RAM 17986/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,4%@2201,0%@2201,79%@2201,0%@2201] GR3D_FREQ 34% cpu@49.656C soc2@44.468C soc0@45.687C tj@49.656C soc1@46.531C VDD_GPU_SOC 6412mW/12808mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 5754mW/6486mW
02-16-2026 19:25:51 RAM 19770/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@1113,44%@1113,37%@1113,0%@1113] GR3D_FREQ 18% cpu@50.062C soc2@45.312C soc0@46.281C tj@50.062C soc1@46.937C VDD_GPU_SOC 20032mW/12809mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7572mW/6486mW
02-16-2026 19:25:54 RAM 19771/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,0%@2112,77%@2112,0%@2112,0%@2112,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 18% cpu@50.75C soc2@45.312C soc0@46.375C tj@50.75C soc1@47.093C VDD_GPU_SOC 19246mW/12811mW VDD_CPU_CV 1603mW/2081mW VIN_SYS_5V0 7168mW/6486mW
02-16-2026 19:25:57 RAM 19771/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2035,80%@2035,0%@2035,0%@2035,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 14% cpu@51C soc2@45.468C soc0@46.593C tj@51C soc1@47.187C VDD_GPU_SOC 21250mW/12813mW VDD_CPU_CV 1603mW/2081mW VIN_SYS_5V0 7572mW/6487mW
02-16-2026 19:26:00 RAM 19772/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [2%@729,0%@729,1%@729,0%@729,2%@729,32%@729,0%@729,1%@729,0%@2201,0%@2201,52%@2201,0%@2201] GR3D_FREQ 30% cpu@50.343C soc2@45.125C soc0@46.281C tj@50.343C soc1@47.312C VDD_GPU_SOC 8016mW/12812mW VDD_CPU_CV 2403mW/2081mW VIN_SYS_5V0 6057mW/6486mW
02-16-2026 19:26:03 RAM 19775/62841MB (lfb 207x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,15%@2201,0%@2201,68%@2201,0%@2201] GR3D_FREQ 39% cpu@49.937C soc2@44.75C soc0@46C tj@49.937C soc1@47.125C VDD_GPU_SOC 5208mW/12810mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5451mW/6486mW
02-16-2026 19:26:06 RAM 19778/62841MB (lfb 207x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,1%@729,1%@729,0%@729,1%@729,3%@729,0%@729,1%@729,3%@2201,70%@2201,1%@2201,0%@2201] GR3D_FREQ 99% cpu@50.593C soc2@45.468C soc0@46.593C tj@50.593C soc1@47.25C VDD_GPU_SOC 15624mW/12811mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6865mW/6486mW
02-16-2026 19:26:09 RAM 19778/62841MB (lfb 207x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@2201,82%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@51.031C soc2@45.968C soc0@46.968C tj@51.031C soc1@47.406C VDD_GPU_SOC 20424mW/12812mW VDD_CPU_CV 2402mW/2082mW VIN_SYS_5V0 7572mW/6487mW
02-16-2026 19:26:12 RAM 19775/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,0%@729,2%@729,0%@729,0%@729,7%@2035,52%@2035,22%@2035,0%@2035] GR3D_FREQ 55% cpu@50.843C soc2@45.656C soc0@46.75C tj@50.843C soc1@47.562C VDD_GPU_SOC 13226mW/12813mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6764mW/6487mW
02-16-2026 19:26:15 RAM 19775/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@2188,0%@2188,79%@2188,0%@2188] GR3D_FREQ 28% cpu@50.625C soc2@45.25C soc0@46.375C tj@50.625C soc1@47.406C VDD_GPU_SOC 6009mW/12811mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 5653mW/6486mW
02-16-2026 19:26:18 RAM 21621/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@1958,31%@1958,49%@1958,0%@1958] GR3D_FREQ 15% cpu@50.843C soc2@45.656C soc0@46.687C tj@50.843C soc1@47.468C VDD_GPU_SOC 16032mW/12812mW VDD_CPU_CV 1603mW/2082mW VIN_SYS_5V0 6966mW/6487mW
02-16-2026 19:26:21 RAM 21622/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,1%@2112,81%@2112,0%@2112,0%@2112] GR3D_FREQ 22% cpu@51.125C soc2@46C soc0@46.906C tj@51.125C soc1@47.656C VDD_GPU_SOC 19246mW/12813mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7269mW/6487mW
02-16-2026 19:26:24 RAM 21623/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@1113,78%@1113,0%@1113,0%@1113] GR3D_FREQ 14% cpu@51.375C soc2@46.562C soc0@47.656C tj@51.375C soc1@47.906C VDD_GPU_SOC 24048mW/12816mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 8089mW/6487mW
02-16-2026 19:26:27 RAM 21628/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,1%@729,0%@729,2%@729,0%@729,0%@729,0%@729,0%@2201,49%@2201,34%@2201,0%@2201] GR3D_FREQ 40% cpu@51.343C soc2@46.062C soc0@47.187C tj@51.343C soc1@48.156C VDD_GPU_SOC 10420mW/12815mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6461mW/6487mW
02-16-2026 19:26:30 RAM 21628/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@2201,0%@2201,82%@2201,0%@2201] GR3D_FREQ 55% cpu@50.781C soc2@45.531C soc0@46.812C tj@50.781C soc1@47.843C VDD_GPU_SOC 5608mW/12814mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5552mW/6487mW
02-16-2026 19:26:33 RAM 21633/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@729,0%@729,1%@729,0%@729,0%@1728,53%@1728,22%@1728,0%@1728] GR3D_FREQ 31% cpu@51.156C soc2@46.187C soc0@47.25C tj@51.156C soc1@48.062C VDD_GPU_SOC 19639mW/12815mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7370mW/6487mW
02-16-2026 19:26:36 RAM 21631/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,1%@2201,1%@2201,1%@2201,0%@729,0%@729,0%@729,1%@729,0%@2201,84%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@51.625C soc2@46.562C soc0@47.687C tj@51.625C soc1@48.093C VDD_GPU_SOC 19223mW/12817mW VDD_CPU_CV 2402mW/2082mW VIN_SYS_5V0 7471mW/6487mW
02-16-2026 19:26:39 RAM 21641/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@1344,77%@1344,0%@1344,0%@1344] GR3D_FREQ 26% cpu@51.781C soc2@46.843C soc0@47.906C tj@51.781C soc1@48.281C VDD_GPU_SOC 23647mW/12819mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7887mW/6488mW
02-16-2026 19:26:42 RAM 21643/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@1958,9%@1958,41%@1958,34%@1958] GR3D_FREQ 65% cpu@51.281C soc2@46C soc0@47.218C tj@51.281C soc1@48.125C VDD_GPU_SOC 6810mW/12818mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5956mW/6488mW
02-16-2026 19:26:45 RAM 21643/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,1%@1804,9%@1804,0%@1804,64%@1804] GR3D_FREQ 19% cpu@51.093C soc2@46.218C soc0@47.25C tj@51.093C soc1@48.062C VDD_GPU_SOC 15637mW/12819mW VDD_CPU_CV 1202mW/2082mW VIN_SYS_5V0 6562mW/6488mW
02-16-2026 19:26:48 RAM 21648/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729,0%@2201,82%@2201,0%@2201,0%@2201] GR3D_FREQ 40% cpu@51.75C soc2@46.531C soc0@47.531C tj@51.75C soc1@48.25C VDD_GPU_SOC 16833mW/12820mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 6865mW/6488mW
02-16-2026 19:26:51 RAM 21644/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@1881,79%@1881,0%@1881,0%@1881] GR3D_FREQ 10% cpu@52C soc2@47.093C soc0@48.125C tj@52C soc1@48.437C VDD_GPU_SOC 22052mW/12822mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7672mW/6488mW
02-16-2026 19:26:54 RAM 21645/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,60%@2201,0%@2201,22%@2201] GR3D_FREQ 29% cpu@52.062C soc2@46.687C soc0@47.937C tj@52.062C soc1@48.531C VDD_GPU_SOC 12825mW/12822mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6562mW/6488mW
02-16-2026 19:26:57 RAM 21645/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,85%@2201] GR3D_FREQ 41% cpu@51.406C soc2@46.156C soc0@47.468C tj@51.406C soc1@48.531C VDD_GPU_SOC 5210mW/12820mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5451mW/6488mW
02-16-2026 19:27:00 RAM 21645/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,6%@2201,48%@2201,0%@2201,24%@2201] GR3D_FREQ 17% cpu@51.781C soc2@46.531C soc0@47.718C tj@51.781C soc1@48.531C VDD_GPU_SOC 15637mW/12821mW VDD_CPU_CV 2405mW/2082mW VIN_SYS_5V0 6764mW/6488mW
02-16-2026 19:27:03 RAM 21652/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,1%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,85%@2201,0%@2201,0%@2201] GR3D_FREQ 77% cpu@52.062C soc2@46.968C soc0@48C tj@52.062C soc1@48.656C VDD_GPU_SOC 17628mW/12822mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7168mW/6488mW
02-16-2026 19:27:06 RAM 21664/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@2201,2%@2201,0%@2201,0%@2201,0%@729,1%@729,0%@729,1%@729,0%@2201,72%@2201,0%@2201,13%@2201] GR3D_FREQ 35% cpu@52.093C soc2@46.937C soc0@47.968C tj@52.093C soc1@48.812C VDD_GPU_SOC 16432mW/12823mW VDD_CPU_CV 2404mW/2082mW VIN_SYS_5V0 6966mW/6488mW
02-16-2026 19:27:09 RAM 21664/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@2035,0%@2035,0%@2035,82%@2035] GR3D_FREQ 48% cpu@51.468C soc2@46.406C soc0@47.625C tj@51.468C soc1@48.593C VDD_GPU_SOC 6009mW/12821mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 5653mW/6488mW
02-16-2026 19:27:12 RAM 21666/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,1%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@1267,36%@1267,0%@1267,41%@1267] GR3D_FREQ 10% cpu@51.812C soc2@47.031C soc0@48.093C tj@51.812C soc1@48.625C VDD_GPU_SOC 20040mW/12823mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7572mW/6488mW
02-16-2026 19:27:15 RAM 21666/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,84%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@52.187C soc2@47.093C soc0@48.093C tj@52.187C soc1@48.687C VDD_GPU_SOC 17628mW/12824mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7067mW/6488mW
02-16-2026 19:27:18 RAM 21667/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,1%@1190,79%@1190,0%@1190,0%@1190] GR3D_FREQ 58% cpu@52.312C soc2@47.781C soc0@48.593C tj@52.312C soc1@48.906C VDD_GPU_SOC 24048mW/12826mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7988mW/6489mW
02-16-2026 19:27:21 RAM 21674/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@729,1%@729,0%@729,1%@729,0%@2035,22%@2035,0%@2035,63%@2035] GR3D_FREQ 83% cpu@52.281C soc2@46.875C soc0@48.187C tj@52.281C soc1@48.937C VDD_GPU_SOC 6810mW/12825mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5956mW/6488mW
02-16-2026 19:27:24 RAM 21674/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@1804,7%@1804,0%@1804,70%@1804] GR3D_FREQ 39% cpu@52.125C soc2@46.968C soc0@48.125C tj@52.125C soc1@48.718C VDD_GPU_SOC 15637mW/12826mW VDD_CPU_CV 1603mW/2082mW VIN_SYS_5V0 6764mW/6488mW
02-16-2026 19:27:27 RAM 21668/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,0%@2201,1%@2201,0%@2201,85%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@52.531C soc2@47.343C soc0@48.562C tj@52.531C soc1@49.031C VDD_GPU_SOC 16826mW/12827mW VDD_CPU_CV 2402mW/2082mW VIN_SYS_5V0 7067mW/6489mW
02-16-2026 19:27:30 RAM 21668/62841MB (lfb 210x4MB) SWAP 312/31420MB (cached 5MB) CPU [0%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@1574,80%@1574,0%@1574,0%@1574] GR3D_FREQ 8% cpu@52.625C soc2@47.75C soc0@48.781C tj@52.625C soc1@49.187C VDD_GPU_SOC 22444mW/12829mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7773mW/6489mW
02-16-2026 19:27:33 RAM 21670/62841MB (lfb 209x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@2201,45%@2201,0%@2201,39%@2201] GR3D_FREQ 55% cpu@52.5C soc2@47.187C soc0@48.343C tj@52.5C soc1@49.187C VDD_GPU_SOC 9218mW/12828mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 6360mW/6489mW
02-16-2026 19:27:36 RAM 21674/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@2112,0%@2112,0%@2112,84%@2112] GR3D_FREQ 64% cpu@52C soc2@46.781C soc0@47.906C tj@52C soc1@49.031C VDD_GPU_SOC 5608mW/12826mW VDD_CPU_CV 2403mW/2082mW VIN_SYS_5V0 5653mW/6489mW
02-16-2026 19:27:39 RAM 21674/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729,1%@2201,66%@2201,0%@2201,11%@2201] GR3D_FREQ 99% cpu@52.531C soc2@47.625C soc0@48.593C tj@52.531C soc1@49.062C VDD_GPU_SOC 17621mW/12827mW VDD_CPU_CV 2402mW/2082mW VIN_SYS_5V0 7269mW/6489mW
02-16-2026 19:27:42 RAM 21663/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,42%@729,1%@729,1%@729,3%@2201,34%@2201,0%@2201,0%@2201] GR3D_FREQ 99% cpu@52.875C soc2@47.562C soc0@48.656C tj@52.781C soc1@49.218C VDD_GPU_SOC 18429mW/12829mW VDD_CPU_CV 2003mW/2082mW VIN_SYS_5V0 7269mW/6489mW
02-16-2026 19:27:45 RAM 21663/62841MB (lfb 208x4MB) SWAP 312/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@729,0%@729,0%@729,0%@729,13%@1036,63%@1036,0%@1036,3%@1036] GR3D_FREQ 39% cpu@53.031C soc2@48.125C soc0@48.968C tj@53.031C soc1@49.406C VDD_GPU_SOC 23656mW/12831mW VDD_CPU_CV 2004mW/2082mW VIN_SYS_5V0 7988mW/6489mW
